Kalkış-Varış;Tarife Fiyatı;Tarife İndirimli;KM;Fiyat/KM
Altınoluk - Fethiye;2025;1417,5;541;3,74
Altınoluk - Gevaş;3450;2415;1801;1,92
Altınoluk - Isparta;1740;1218;532;3,27
Altınoluk - İstanbul Anadolu;1370;959;453;3,02
Altınoluk - Bergama;710;497;107;6,64
Altınoluk - Karapınar;1530;1071;734;2,08
Altınoluk - Kırıkkale;1640;1148;717;2,29
Altınoluk - Kırşehir;2320;1624;804;2,89
Akşehir - Altınoluk;1540;1078;510;3,02
Altınoluk - Ilgın;1600;1120;551;2,9
Altınoluk - Konya;2090;1463;640;3,27
Altınoluk - Küçükkuyu;470;329;61;7,7
Altınoluk - Kütahya;1540;1078;314;4,9
Altınoluk - Malatya;2660;1862;1270;2,09
Altınoluk - Tarsus;2430;1701;955;2,54
Altınoluk - Mersin;2430;1701;978;2,48
Altınoluk - Mucur;1980;1386;826;2,4
Altınoluk - Bodrum;1695;1186,5;442;3,83
Altınoluk - Köyceğiz;1950;1365;478;4,08
Altınoluk - Milas;1620;1134;391;4,14
Altınoluk - Ortaca;1980;1386;495;4
Altınoluk - Muş;3110;2177;1619;1,92
Altınoluk - Göreme;2035;1424,5;855;2,38
Altınoluk - Polatlı;1480;1036;558;2,65
Altınoluk - Sarayköy;1500;1050;346;4,34
Altınoluk - Gürün;2660;1862;1131;2,35
Altınoluk - Solhan;2990;2093;1564;1,91
Altınoluk - Tekirdağ;1210;847;303;3,99
Altınoluk - Van;3450;2415;1835;1,88
Altınoluk - Yerköy;2200;1540;826;2,66
Altınoluk - Yıldızeli;2660;1862;1035;2,57
Akdağmadeni - Altınoluk;2540;1778;961;2,64
Adıyaman - Amasya;1670;1169;551;3,03
Amasya - Hatay;2090;1463;681;3,07
Amasya - Aşkale;1530;1071;507;3,02
Amasya - Bolu;1470;1029;411;3,58
Amasya - Çarşamba;835;584,5;166;5,03
Amasya - Doğubeyazıt;1865;1305,5;834;2,24
Amasya - Dörtyol;2090;1463;651;3,21
Amasya - Düzce;1530;1071;458;3,34
Amasya - Erzurum;1530;1071;566;2,7
